ID,Название,Тип,Вместимость,Описание,Комнат,Входит
8,Уютные апартаменты №8,Дом,4,Комфортный 4 -х местный домик для семейного отдыха. С мангальной зоной на берегу. На кухне подключена горячая вода.,,"
• Мебель: кровати, стол, стулья, шезлонги 
• Кухня: газовая плита на баллонах, посуда, холодильник 
• Постельное белье включено 
• Мангальная зона с мангалом 
• Печное и электроотопление 
• Крытая терраса/веранда"
9,Дача кирпичная №9,Дом,6,Уютный 2-х комнатный домик на первой линии в 20 метрах от озера с собственной просторной верандой с прекрасным видом на озеро!,,"
• Мебель: кровати, стол, стулья, шезлонги 
• Кухня: газовая плита на баллонах, посуда, холодильник 
• Постельное белье включено 
• Мангальная зона с мангалом 
• Печное и электроотопление 
• Терраса/веранда"
10,Дом №10,Дом,6,"Небольшой домик ""Изба"" на первой линии, только что после ремонта на первой линии в 20 метрах от озера с собственной мангальной зоной.",,"
• Мебель: кровати, стол, стулья, шезлонги 
• Кухня: газовая плита на баллонах, посуда, холодильник 
• Постельное белье включено 
• Мангальная зона с мангалом 
• Печное и электроотопление 
• Терраса/веранда"
12,"Дача ""Эконом"" №12",2 комнаты,6,"Дача на 6 человек на первой линии с мангальной зоной на берегу .Две комнаты по 3 человека , большой холодильник.",2 комнаты,"
• Мебель: кровати, вешалка, столик 
• Холодильник (не во всех комнатах) 
• Мангальная зона с мангалом 
• Общая кухня с газовыми плитами 
• Постельное белье и посуда НЕ входят"
14,Коттедж №14,Коттедж,10,2-х этажный дом на берегу озера  с 5 комнатами с возможностью размещения 10 человек и более (в случае если вас более 10 человек обратитесь к администратору) с прекрасным видом на бухту озера.,5 комнат,"
• Мебель: кровати, стол, стулья, шезлонги 
• Кухня: газовая плита на баллонах, посуда, холодильник 
• Постельное белье включено 
• Мангальная зона с мангалом 
• Печное и электроотопление 
• Терраса/веранда"
1,"Дача ""Эконом"" №1",Комната,4,Корпуса с небольшими комнатами  на 4-х человек Мангальная и обеденная зона рядом с корпусом. Для проживающих действует общая кухня.,5 комнат,"
• Мебель: кровати, вешалка, столик 
• Холодильник (не во всех комнатах) 
• Мангальная зона с мангалом 
• Общая кухня с газовыми плитами 
• Постельное белье и посуда НЕ входят"
2,"Дача ""Эконом"" №2",Комната,4,"Корпуса с небольшими номерами на 4-х человек как в ""детском лагере времен СССР"". Мангальная и обеденная зона рядом с корпусом. Для проживающих действует общая кухня.",5 комнат,"
• Мебель: кровати, вешалка, столик 
• Холодильник (не во всех комнатах) 
• Мангальная зона с мангалом 
• Общая кухня с газовыми плитами 
• Постельное белье и посуда НЕ входят"
4,"Дача ""Эконом"" №4",Комната,4,"Корпуса с небольшими номерами на 4-х человек как в ""детском лагере времен СССР"". Мангальная и обеденная зона рядом с корпусом. Для проживающих действует общая кухня.",3 комнаты,"
• Мебель: кровати, вешалка, столик 
• Холодильник (не во всех комнатах) 
• Мангальная зона с мангалом 
• Общая кухня с газовыми плитами 
• Постельное белье и посуда НЕ входят"
6,"Дача ""Эконом"" №6",Комната,4,"Корпуса с небольшими номерами на 4-х человек как в ""детском лагере времен СССР"". Мангальная и обеденная зона рядом с корпусом. Для проживающих действует общая кухня.",3 комнаты,"
• Мебель: кровати, вешалка, столик 
• Холодильник (не во всех комнатах) 
• Мангальная зона с мангалом 
• Общая кухня с газовыми плитами 
• Постельное белье и посуда НЕ входят"
11,"Дача ""Эконом"" №11",Комната,4,"Корпуса с небольшими номерами на 4-х человек как в ""детском лагере времен СССР"". Мангальная и обеденная зона рядом с корпусом. Для проживающих действует общая кухня.",5 комнат,"
• Мебель: кровати, вешалка, столик 
• Холодильник (не во всех комнатах) 
• Мангальная зона с мангалом 
• Общая кухня с газовыми плитами 
• Постельное белье и посуда НЕ входят"
13,"Дача ""Эконом"" №13",Комната,4,"Корпуса с небольшими номерами на 4-х человек как в ""детском лагере времен СССР"". Мангальная и обеденная зона рядом с корпусом. Для проживающих действует общая кухня.",6 комнат,"
• Мебель: кровати, вешалка, столик 
• Холодильник (не во всех комнатах) 
• Мангальная зона с мангалом 
• Общая кухня с газовыми плитами 
• Постельное белье и посуда НЕ входят"
